video_id,comment_id,comment_type,parent_comment_id,comment_text_display,like_count,reply_count,published_at
VvI0TtwsqX0,UgxIOgY-4idjHgjsvNR4AaABAg,top_level,,Wait... $50 a year to access an &quot;art library&quot;? You mean things you can get off Google Images for free?<br>Fuck I hate companies.,3129,41,2025-09-02T08:33:37Z
VvI0TtwsqX0,UgxIOgY-4idjHgjsvNR4AaABAg.AMZU1T4k9fRAM_O2Drp2C8,reply,UgxIOgY-4idjHgjsvNR4AaABAg,"I could actually understand if they were showcasing popular current artists that are being featured at the Met in NYC. Instead, they are just charging for domain free paintings... ya absolutely insane, make it at least free for the domain free paintings and make people pay for the trademarks like Disney.",364,0,2025-09-02T17:00:32Z
VvI0TtwsqX0,UgxIOgY-4idjHgjsvNR4AaABAg.AMZU1T4k9fRAM_pJDNStja,reply,UgxIOgY-4idjHgjsvNR4AaABAg,@kingmonday2918 there is free art. Subscription not necessary,29,0,2025-09-02T21:07:31Z
VvI0TtwsqX0,UgxIOgY-4idjHgjsvNR4AaABAg.AMZU1T4k9fRAMaf7UPB5SL,reply,UgxIOgY-4idjHgjsvNR4AaABAg,"You don’t have to use their service. You can upload any art you wish, manually.",31,0,2025-09-03T04:57:46Z
VvI0TtwsqX0,UgxIOgY-4idjHgjsvNR4AaABAg.AMZU1T4k9fRAMauBPGUfSa,reply,UgxIOgY-4idjHgjsvNR4AaABAg,"Its actually decent.  They are well scanned high res versions and its a huge licensed library of classics along with a lot of newer and modern artists and other pop art stuff and photography.  Sure you can probably go find a lot of it for free, but not all and not easily and theres a chance an artist or photographer gets paid this way.",43,0,2025-09-03T07:09:23Z
VvI0TtwsqX0,UgxIOgY-4idjHgjsvNR4AaABAg.AMZU1T4k9fRAMbDRsjkOp3,reply,UgxIOgY-4idjHgjsvNR4AaABAg,"You can upload your own paintings, but if you are not poor and don’t want to bother you can pay, like i do.",9,0,2025-09-03T10:06:24Z
VvI0TtwsqX0,UgyIj83aMzqGZwH0lS94AaABAg,top_level,,"Using the whole 6 Ghz band with no regard to other devices, and running several bloatware until the whole system throttles, and proceeding to ship the device to consumers, is another reminder that customer loyalty is for losers.",1593,15,2025-09-02T11:01:42Z
VvI0TtwsqX0,UgyIj83aMzqGZwH0lS94AaABAg.AMZjz5ufX8aAM_G2grF1-q,reply,UgyIj83aMzqGZwH0lS94AaABAg,"@TheCalculator9000 yeah. If i eventually move out and get a tv, I&#39;m buying a smart tv stick even if it&#39;s already a smart tv, cause fuck loyalty",40,0,2025-09-02T15:50:41Z
VvI0TtwsqX0,UgyIj83aMzqGZwH0lS94AaABAg.AMZjz5ufX8aAM_YXvwDITy,reply,UgyIj83aMzqGZwH0lS94AaABAg,Right? The interference must be crazy.,10,0,2025-09-02T18:32:14Z
VvI0TtwsqX0,UgyIj83aMzqGZwH0lS94AaABAg.AMZjz5ufX8aAMcZJFttRva,reply,UgyIj83aMzqGZwH0lS94AaABAg,I don&#39;t get why people like Samsung as a brand.  Literally never owned a Samsung product I&#39;ve been entirely happy with - they always have one or more horrible engineering or software faux-pas that render them disappointing if not irritating.,26,0,2025-09-03T22:36:42Z
